email,location,name,role,vnu_id,username,password,gender,phone_number
19021212@vnu.edu.vn,"101A, 39 Phố Nghĩa Đô, Cầu Giấy, Hà Nội",Nguyễn Việt Anh,Student,19021212,19021212,bach,male,0373093631
19020001@vnu.edu.vn,"Ngõ 69, Đường Cốm Vòng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Trần Xuân Bách,Student,19020001,19020001,bach,male,0155121565
19020002@vnu.edu.vn,"Ngõ 69, Đường Cốm Vòng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",Đặng Thế Hoàng Anh,Student,19020002,19020002,bach,male,02597837193
19020003@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Hoàng Hữu Bách,Student,19020003,19020003,bach,male,0322983674
19020004@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Nguyễn Bá Anh Tuấn,Student,19020004,19020004,bach,male,0729496535
19020005@vnu.edu.vn,"02 Đ. Minh Cầu, Hàng Văn Thụ, Thành phố Thái Nguyên, Thái Nguyên, Việt Nam",Đào Thị Ngát,Student,19020005,19020005,bach,male,03501212752
19020006@vnu.edu.vn,"189 Nghi Tàm, Yên Phụ, Tây Hồ, Hà Nội",Nguyễn Minh Triết,Student,19020006,19020006,bach,male,084776519
19020007@vnu.edu.vn,"số 8 Đỗ Đức Dục, Từ Liêm, Hà Nội",Nguyễn Văn Huy,Student,19020007,19020007,bach,male,0816273432
19020008@vnu.edu.vn,"số 1 Ngụy Như Kon Tum, Thanh Xuân, Hà Nội",Hoàng Tuấn Anh,Student,19020008,19020008,bach,male,02192155011
19020009@vnu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội",Nguyễn Thị Thơm,Student,19020009,19020009,bach,male,03501212752
19020010@vnu.edu.vn,"số 7 Đinh Tiên Hoàng, Hoàn Kiếm, Hà Nội",Trần Minh Khúc,Student,19020010,19020010,bach,male,0182764291
19020011@vnu.edu.vn,"24 Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội",Bánh Trôi Nước,Student,19020011,19020011,bach,male,0223544128
19020012@vnu.edu.vn,"Kí túc xá Ngoại ngữ, ĐHQGHN",Xuân Quỳnh,Student,19020012,19020012,bach,male,02164224601
19020013@vnu.edu.vn,"86 Hoàng Ngân, quận Cầu Giấy, Hà Nội.",Lưu Quang Vũ,Student,19020013,19020013,bach,male,0378676173
19020014@vnu.edu.vn,"Lương Sơn Quán, 73, Thái Hà - Đống Đa - Hà Nội.",Hatsune Miku,Student,19020014,19020014,bach,male,0370895424
19020015@vnu.edu.vn,"51A Phan Bội Châu, Hoàn Kiếm - Hà Nội.",Ưng Quang Huy,Student,19020015,19020015,bach,male,0372022214
19020016@vnu.edu.vn,"109 Ô Chợ Dừa - khu vực quận Đống Đa, thủ đô Hà Nội",Thang Bảo Thoa,Student,19020016,19020016,bach,male,0383848684
19020017@vnu.edu.vn,"550 Trần Khát Trân, khu vực quận Hai Bà Trưng, Hà Nội",Trần Văn A,Student,19020017,19020017,bach,male,0372331607
19020018@vnu.edu.vn,"169 Đội Cấn, Ba Đình, Hà Nội",Nguyễn Tuấn Minh,Student,19020018,19020018,bach,male,03713595093
19020019@vnu.edu.vn,"18 ngõ 19 Đông Tác, Quận Đống Đa",Đào Văn Hùng,Student,19020019,19020019,bach,male,03712997682
19020020@vnu.edu.vn,"12 Nguyễn Quang Bích, Hoàn Kiếm, Hà Nội.",Nguyễn Văn Đông,Student,19020020,19020020,bach,male,03718476263
